area_type,bath,balcony,availabletomove,rectified_sqft,price
Super built-up  Area,2.0,1.0,No,1056.0,39.07
Plot  Area,5.0,3.0,Yes,2600.0,120.0
Built-up  Area,2.0,3.0,Yes,1440.0,62.0
Super built-up  Area,3.0,1.0,Yes,1521.0,95.0
Super built-up  Area,2.0,1.0,Yes,1200.0,51.0
Super built-up  Area,2.0,1.0,Yes,1170.0,38.0
Super built-up  Area,4.0,2.0,No,2732.0,204.0
Super built-up  Area,4.0,2.0,Yes,3300.0,600.0
Super built-up  Area,3.0,1.0,Yes,1310.0,63.25
Plot  Area,6.0,2.0,Yes,1020.0,370.0
Super built-up  Area,2.0,2.0,No,1800.0,70.0
Plot  Area,5.0,3.0,Yes,2785.0,295.0
Super built-up  Area,2.0,1.0,Yes,1000.0,38.0
Built-up  Area,2.0,2.0,Yes,1100.0,40.0
Plot  Area,3.0,2.0,Yes,2250.0,148.0
Super built-up  Area,2.0,2.0,Yes,1175.0,73.5
Super built-up  Area,3.0,2.0,Yes,1180.0,48.0
Super built-up  Area,3.0,3.0,Yes,1540.0,60.0
Super built-up  Area,4.0,2.0,Yes,2770.0,290.0
Super built-up  Area,2.0,2.0,Yes,1100.0,48.0
Built-up  Area,1.0,1.0,Yes,600.0,15.0
Super built-up  Area,3.0,1.0,No,1755.0,122.0
Plot  Area,5.0,2.0,Yes,2800.0,380.0
Super built-up  Area,3.0,1.0,Yes,1767.0,103.0
Super built-up  Area,1.0,0.0,No,510.0,25.25
Super built-up  Area,3.0,2.0,No,1250.0,56.0
Super built-up  Area,1.0,1.0,Yes,660.0,23.1
Built-up  Area,3.0,2.0,No,1610.0,81.0
Super built-up  Area,2.0,2.0,No,1151.0,48.77
Super built-up  Area,2.0,1.0,Yes,1025.0,47.0
Super built-up  Area,4.0,0.0,No,2475.0,186.0
Super built-up  Area,2.0,1.0,Yes,1075.0,35.0
Super built-up  Area,2.0,2.0,Yes,1760.0,123.0
Super built-up  Area,3.0,3.0,Yes,1693.0,57.39
Built-up  Area,3.0,2.0,Yes,1925.0,125.0
Super built-up  Area,2.0,1.0,No,700.0,36.0
Super built-up  Area,2.0,1.0,Yes,1070.0,45.5
Super built-up  Area,3.0,2.0,Yes,1724.0,125.0
Super built-up  Area,2.0,2.0,Yes,1290.0,56.12
Built-up  Area,2.0,2.0,Yes,1143.0,45.0
Built-up  Area,2.0,2.0,Yes,1296.0,81.0
Super built-up  Area,3.0,2.0,No,1254.0,38.0
Super built-up  Area,1.0,0.0,Yes,600.0,38.0
Plot  Area,1.0,0.0,Yes,660.0,48.0
Super built-up  Area,2.0,2.0,No,1330.74,91.79
Plot  Area,9.0,2.0,Yes,600.0,200.0
Super built-up  Area,2.0,0.0,Yes,970.0,33.0
Super built-up  Area,2.0,1.0,No,1459.0,94.82
Plot  Area,1.0,1.0,Yes,800.0,130.0
Built-up  Area,2.0,1.0,Yes,869.0,36.0
Super built-up  Area,2.0,1.0,Yes,1270.0,50.0
Super built-up  Area,3.0,1.0,No,1670.0,99.0
Built-up  Area,3.0,2.0,Yes,2010.0,91.0
