area_type,bath,balcony,price,available to move,rectified_sqft
Super built-up  Area,1.0,0.0,19.0,Yes,560.0
Plot  Area,4.0,2.0,125.0,Yes,860.0
Super built-up  Area,3.0,1.0,84.52,No,1761.0
Super built-up  Area,2.0,1.0,45.0,Yes,1026.0
Super built-up  Area,2.0,2.0,75.0,Yes,1352.0
Built-up  Area,2.0,1.0,47.0,Yes,1116.0
Super built-up  Area,3.0,2.0,100.0,Yes,1450.0
Super built-up  Area,3.0,1.0,66.0,Yes,1340.0
Super built-up  Area,3.0,1.0,84.0,Yes,1490.0
Built-up  Area,3.0,2.0,160.0,Yes,1835.0
Built-up  Area,2.0,2.0,65.0,Yes,1550.0
Super built-up  Area,3.0,1.0,94.71,Yes,1521.0
Built-up  Area,4.0,3.0,188.0,No,2695.0
Plot  Area,2.0,1.0,120.0,Yes,817.0
Plot  Area,3.0,2.0,165.0,Yes,1240.0
Super built-up  Area,2.0,1.0,65.0,Yes,1000.0
Super built-up  Area,2.0,1.0,57.0,No,1175.0
Super built-up  Area,3.0,2.0,58.0,Yes,1220.0
Super built-up  Area,2.0,1.0,63.0,Yes,1495.0
Super built-up  Area,2.0,0.0,33.0,Yes,970.0
Super built-up  Area,2.0,1.0,95.0,Yes,1360.0
Super built-up  Area,2.0,2.0,45.12,No,1410.0
Plot  Area,3.0,2.0,178.0,No,1282.0
Plot  Area,2.0,1.0,36.1,No,1200.0
Built-up  Area,2.0,2.0,110.0,Yes,1875.0
Plot  Area,5.0,2.0,130.0,Yes,960.0
Super built-up  Area,2.0,1.0,95.0,No,1355.0
Super built-up  Area,2.0,1.0,46.0,No,900.0
Plot  Area,3.0,1.0,260.0,Yes,1200.0
Plot  Area,8.0,2.0,200.0,Yes,750.0
Carpet  Area,5.0,2.0,145.0,Yes,3150.0
Plot  Area,4.0,1.0,89.45,No,1500.0
Built-up  Area,3.0,0.0,97.0,Yes,1790.0
Super built-up  Area,6.0,1.0,310.0,Yes,3563.0
Super built-up  Area,1.0,0.0,40.55,No,863.0
Super built-up  Area,2.0,2.0,54.11,Yes,1430.0
Plot  Area,3.0,0.0,95.0,Yes,2000.0
Built-up  Area,2.0,1.0,62.8,Yes,1256.0
Plot  Area,3.0,1.0,165.0,No,2400.0
Super built-up  Area,2.0,0.0,34.0,Yes,827.0
Plot  Area,4.0,2.0,233.0,Yes,1500.0
Built-up  Area,2.0,2.0,75.0,Yes,1169.0
Super built-up  Area,2.0,1.0,30.27,No,1081.0
Super built-up  Area,2.0,2.0,73.0,No,1195.0
Super built-up  Area,2.0,2.0,49.73,Yes,1105.0
Super built-up  Area,3.0,2.0,98.0,Yes,1573.0
Super built-up  Area,2.0,1.0,40.0,Yes,815.0
Super built-up  Area,2.0,3.0,55.5,Yes,1140.0
Super built-up  Area,3.0,0.0,88.2,No,1700.0
Super built-up  Area,3.0,2.0,97.0,Yes,1827.0
Super built-up  Area,3.0,2.0,112.0,Yes,1600.0
Super built-up  Area,2.0,2.0,33.34,No,1191.0
Built-up  Area,2.0,1.0,29.45,No,1020.0
Built-up  Area,8.0,1.0,130.0,Yes,3200.0
Super built-up  Area,2.0,1.0,53.0,Yes,1080.0
Super built-up  Area,2.0,2.0,46.2,Yes,1100.0
Super built-up  Area,2.0,1.0,40.0,Yes,905.0
Plot  Area,2.0,0.0,71.0,Yes,1200.0
Built-up  Area,3.0,2.0,65.0,Yes,1445.0
Built-up  Area,2.0,1.0,32.63,No,1130.0
Super built-up  Area,2.0,3.0,88.0,Yes,1220.0
Plot  Area,6.0,1.0,360.0,Yes,5000.0
Super built-up  Area,3.0,3.0,65.93,Yes,1570.0
Super built-up  Area,2.0,1.0,56.35,Yes,1031.0
Super built-up  Area,2.0,2.0,105.0,Yes,1660.0
Super built-up  Area,4.0,2.0,145.0,Yes,2000.0
Plot  Area,4.0,2.0,110.0,No,1800.0
Super built-up  Area,2.0,1.0,58.0,No,1173.0
Super built-up  Area,3.0,3.0,47.57,Yes,1510.0
Plot  Area,5.0,0.0,499.0,Yes,5656.0
Super built-up  Area,3.0,2.0,160.0,Yes,2020.0
Super built-up  Area,3.0,1.0,120.0,Yes,1390.0
Super built-up  Area,1.0,1.0,34.0,No,648.0
Plot  Area,4.0,1.0,75.0,Yes,1200.0
Super built-up  Area,2.0,2.0,60.0,Yes,1145.0
Super built-up  Area,4.0,2.0,157.0,Yes,2257.0
Super built-up  Area,2.0,2.0,95.0,Yes,1570.0
Built-up  Area,3.0,1.0,72.0,Yes,1541.0
Super built-up  Area,3.0,2.0,90.0,Yes,1480.0
Super built-up  Area,2.0,2.0,104.0,No,1359.0
Super built-up  Area,2.0,2.0,48.95,Yes,1020.0
Super built-up  Area,5.0,3.0,386.0,No,3960.0
Super built-up  Area,3.0,3.0,131.0,Yes,1810.0
Super built-up  Area,3.0,2.0,119.0,Yes,1691.0
Super built-up  Area,2.0,2.0,75.0,Yes,1413.0
Built-up  Area,4.0,1.0,230.0,Yes,1200.0
Super built-up  Area,2.0,1.0,108.0,No,1332.0
Super built-up  Area,2.0,1.0,58.0,Yes,1000.0
Plot  Area,3.0,1.0,180.0,Yes,1200.0
Plot  Area,4.0,2.0,380.0,No,3210.0
Built-up  Area,2.0,0.0,90.0,Yes,920.0
Built-up  Area,1.0,0.0,18.0,Yes,660.0
Built-up  Area,4.0,0.0,154.0,No,1880.0
Super built-up  Area,5.0,2.0,300.0,Yes,3335.0
Super built-up  Area,2.0,1.0,46.0,Yes,1100.0
Super built-up  Area,3.0,2.0,89.0,Yes,1499.0
Super built-up  Area,3.0,1.0,91.0,No,1592.0
Built-up  Area,2.0,3.0,64.0,Yes,1080.0
Super built-up  Area,2.0,2.0,59.01,Yes,1405.0
Super built-up  Area,2.0,1.0,46.0,Yes,1020.0
Super built-up  Area,6.0,2.0,325.0,No,2503.0
Plot  Area,1.0,1.0,306.0,Yes,3820.0
Built-up  Area,2.0,2.0,60.0,Yes,1000.0
Super built-up  Area,2.0,3.0,41.94,No,1180.0
Super built-up  Area,2.0,2.0,43.1,Yes,1240.0
Plot  Area,5.0,2.0,600.0,Yes,4000.0
Built-up  Area,2.0,1.0,110.0,Yes,1200.0
Super built-up  Area,3.0,2.0,100.0,No,1411.0
Built-up  Area,3.0,2.0,68.0,Yes,1540.0
Super built-up  Area,3.0,2.0,123.0,Yes,1847.0
Super built-up  Area,1.0,1.0,49.0,Yes,833.0
Built-up  Area,3.0,0.0,110.0,Yes,1200.0
Super built-up  Area,3.0,3.0,160.0,Yes,1876.0
Super built-up  Area,3.0,3.0,120.0,Yes,2100.0
Super built-up  Area,2.0,1.0,79.89,No,1277.0
Built-up  Area,2.0,1.0,72.0,No,1216.0
Super built-up  Area,2.0,1.0,55.38,Yes,1191.0
Built-up  Area,1.0,1.0,12.5,Yes,420.0
Built-up  Area,2.0,2.0,45.0,Yes,1090.0
Super built-up  Area,2.0,2.0,54.79,Yes,1370.0
Super built-up  Area,2.0,1.0,105.0,No,1510.0
Plot  Area,9.0,2.0,200.0,Yes,600.0
Plot  Area,4.0,3.0,240.0,Yes,1640.0
Super built-up  Area,3.0,1.0,107.0,No,1536.0
Super built-up  Area,3.0,2.0,70.0,Yes,1652.0
Super built-up  Area,2.0,1.0,55.0,Yes,900.0
Plot  Area,4.0,3.0,500.0,Yes,2400.0
Super built-up  Area,2.0,1.0,70.0,No,1489.0
Super built-up  Area,2.0,1.0,82.0,No,1204.0
Super built-up  Area,2.0,2.0,62.0,Yes,1210.0
Super built-up  Area,3.0,1.0,58.0,No,1100.0
Plot  Area,3.0,3.0,240.0,Yes,4395.0
Plot  Area,2.0,0.0,60.0,Yes,1120.0
Super built-up  Area,4.0,3.0,660.0,No,4100.0
Super built-up  Area,4.0,2.0,138.0,No,2000.0
Built-up  Area,3.0,2.0,60.0,Yes,1539.0
Super built-up  Area,5.0,0.0,225.0,Yes,3360.0
Built-up  Area,2.0,3.0,60.0,No,1457.0
Plot  Area,5.0,2.0,180.0,Yes,1200.0
Super built-up  Area,2.0,2.0,78.0,No,1200.0
Super built-up  Area,3.0,2.0,95.0,Yes,1860.0
Super built-up  Area,2.0,2.0,53.51,Yes,1230.0
Super built-up  Area,2.0,1.0,95.0,No,1392.0
Plot  Area,5.0,2.0,56.0,Yes,525.0
Super built-up  Area,3.0,2.0,125.0,Yes,1745.0
Super built-up  Area,2.0,2.0,79.0,Yes,1200.0
Super built-up  Area,2.0,1.0,42.48,Yes,1062.0
Super built-up  Area,3.0,1.0,95.1,No,1630.0
Super built-up  Area,2.0,1.0,55.0,Yes,1150.0
Super built-up  Area,2.0,2.0,54.0,Yes,1141.0
Built-up  Area,1.0,3.0,95.0,Yes,800.0
Super built-up  Area,2.0,1.0,55.0,No,933.0
Super built-up  Area,5.0,1.0,129.0,Yes,2340.0
Plot  Area,2.0,1.0,45.84,No,1200.0
Super built-up  Area,1.0,1.0,15.0,Yes,675.0
Super built-up  Area,2.0,1.0,37.49,Yes,765.0
Built-up  Area,2.0,3.0,53.0,Yes,1206.0
Super built-up  Area,2.0,0.0,23.45,Yes,1018.0
Super built-up  Area,3.0,2.0,65.0,Yes,1545.0
Built-up  Area,2.0,2.0,70.0,Yes,1240.0
Plot  Area,1.0,1.0,62.0,Yes,550.0
